iter	CrossEntropy
965	0.4555436096
966	0.4555149536
967	0.4554845581
968	0.4554496765
969	0.4554266968
970	0.4553931885
971	0.4553566895
972	0.4553248596
973	0.4552908936
974	0.4552686462
975	0.4552459412
976	0.4552139282
977	0.4551964111
978	0.4551708984
979	0.4551447144
980	0.4551182556
981	0.4550901489
982	0.455061554
983	0.4550337219
984	0.4550115051
985	0.4549794922
986	0.4549537048
987	0.4549298401
988	0.4549008789
989	0.454874054
990	0.4548297119
991	0.4547976074
992	0.4547627563
993	0.4547324219
994	0.4547116089
995	0.454689209
996	0.4546600342
997	0.4546410828
998	0.4546191406
999	0.4545897217
1000	0.4545730286
1001	0.454536499
1002	0.454515564
1003	0.4544827881
1004	0.4544541016
1005	0.4544144287
1006	0.4543862915
1007	0.4543586121
1008	0.4543347168
1009	0.4542987061
1010	0.4542644348
1011	0.4542406616
1012	0.4542060852
1013	0.4541757202
1014	0.4541604004
1015	0.4541264038
1016	0.4540958557
1017	0.4540751343
1018	0.4540469971
1019	0.4540245972
1020	0.4540042114
1021	0.4539749451
1022	0.4539455872
1023	0.4539273071
1024	0.4538924255
1025	0.4538650208
1026	0.4538378906
1027	0.4538089905
1028	0.4537930908
1029	0.4537658081
1030	0.4537456665
1031	0.4537155762
1032	0.4536768799
1033	0.453633667
1034	0.4535956421
1035	0.453577179
1036	0.453539978
1037	0.4535235596
1038	0.4534866333
1039	0.4534570923
1040	0.4534415894
1041	0.4534158325
1042	0.4533818359
1043	0.4533563538
1044	0.4533335571
1045	0.4533162231
1046	0.4532779236
1047	0.4532585449
1048	0.4532403564
1049	0.4532186279
1050	0.4531990356
1051	0.4531665955
1052	0.453133606
1053	0.4531091614
1054	0.4530829468
1055	0.453068634
1056	0.4530422363
1057	0.4530184326
1058	0.452990448
1059	0.4529629211
1060	0.4529346313
1061	0.452909729
1062	0.4528626099
1063	0.4528384094
1064	0.4528208923
1065	0.452807251
1066	0.4527856445
1067	0.4527509766
1068	0.4527166748
1069	0.4526936951
1070	0.4526723938
1071	0.4526461792
1072	0.452614624
1073	0.4525919189
1074	0.4525698242
1075	0.4525357666
1076	0.4525079956
1077	0.4524779663
1078	0.4524460449
1079	0.4524221497
1080	0.4524005127
1081	0.4523738403
1082	0.4523507385
1083	0.4523262939
1084	0.452305481
1085	0.4522884827
1086	0.4522561646
1087	0.4522321777
1088	0.452209198
1089	0.4521834717
1090	0.4521589966
1091	0.4521317749
1092	0.4521098938
1093	0.4520746765
1094	0.4520440674
1095	0.4520120239
1096	0.4519858093
1097	0.4519597778
1098	0.451934906
1099	0.4519053345
1100	0.4518845825
1101	0.4518521729
1102	0.4518341675
1103	0.4518143921
1104	0.4517880249
1105	0.4517583923
1106	0.4517360229
1107	0.4517048645
1108	0.4516871643
1109	0.4516647339
